Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,
168,Losser,Overijssel,23,
263,Maasdriel,Gelderland,25,
1641,Maasgouw,Limburg,31,
556,Maassluis,Zuid-Holland,28,
935,Maastricht,Limburg,31,
1663,De Marne,Groningen,20,
25,Marum,Groningen,20,
420,Medemblik,Noord-Holland,27,
938,Meerssen,Limburg,31,
1908,Menameradiel,Friesland,21,
1987,Menterwolde,Groningen,20,
119,Meppel,Drenthe,22,
687,Middelburg,Zeeland,29,
1842,Midden-Delfland,Zuid-Holland,28,
1731,Midden-Drenthe,Drenthe,22,
815,Mill en Sint Hubert,Noord-Brabant,30,
1709,Moerdijk,Noord-Brabant,30,
1927,Molenwaard,Zuid-Holland,28,
1955,Montferland,Gelderland,25,
335,Montfoort,Utrecht,26,
944,Mook en Middelaar,Limburg,31,
1740,Neder-Betuwe,Gelderland,25,
946,Nederweert,Limburg,31,
304,Neerijnen,Gelderland,25,
356,Nieuwegein,Utrecht,26,
569,Nieuwkoop,Zuid-Holland,28,
267,Nijkerk,Gelderland,25,
268,Nijmegen,Gelderland,25,
1930,Nissewaard,Zuid-Holland,28,
1695,Noord-Beveland,Zeeland,29,
1699,Noordenveld,Drenthe,22,
171,Noordoostpolder,Flevoland,24,
575,Noordwijk,Zuid-Holland,28,
576,Noordwijkerhout,Zuid-Holland,28,
820,Nuenen, Gerwen en Nederwetten,Noord-Brabant,30
302,Nunspeet,Gelderland,25,
951,Nuth,Limburg,31,
579,Oegstgeest,Zuid-Holland,28,
823,Oirschot,Noord-Brabant,30,
824,Oisterwijk,Noord-Brabant,30,
1895,Oldambt,Groningen,20,
269,Oldebroek,Gelderland,25,
173,Oldenzaal,Overijssel,23,
1773,Olst-Wijhe,Overijssel,23,
175,Ommen,Overijssel,23,
881,Onderbanken,Limburg,31,
1586,Oost Gelre,Gelderland,25,
826,Oosterhout,Noord-Brabant,30,
85,Ooststellingwerf,Friesland,21,
431,Oostzaan,Noord-Holland,27,
432,Opmeer,Noord-Holland,27,
86,Opsterland,Friesland,21,
828,Oss,Noord-Brabant,30,
584,Oud-Beijerland,Zuid-Holland,28,
1509,Oude IJsselstreek,Gelderland,25,
437,Ouder-Amstel,Noord-Holland,27,
589,Oudewater,Utrecht,26,
1734,Overbetuwe,Gelderland,25,
590,Papendrecht,Zuid-Holland,28,
1894,Peel en Maas,Limburg,31,
765,Pekela,Groningen,20,
1926,Pijnacker-Nootdorp,Zuid-Holland,28,
439,Purmerend,Noord-Holland,27,
273,Putten,Gelderland,25,
177,Raalte,Overijssel,23,
703,Reimerswaal,Zeeland,29,
274,Renkum,Gelderland,25,
339,Renswoude,Utrecht,26,
1667,Reusel-De Mierden,Noord-Brabant,30,
275,Rheden,Gelderland,25,
340,Rhenen,Utrecht,26,
597,Ridderkerk,Zuid-Holland,28,
196,Rijnwaarden,Gelderland,25,
1742,Rijssen-Holten,Overijssel,23,
603,Rijswijk,Zuid-Holland,28,
1669,Roerdalen,Limburg,31,
957,Roermond,Limburg,31,
736,De Ronde Venen,Utrecht,26,
1674,Roosendaal,Noord-Brabant,30,
599,Rotterdam,Zuid-Holland,28,
277,Rozendaal,Gelderland,25,
840,Rucphen,Noord-Brabant,30,
441,Schagen,Noord-Holland,27,
279,Scherpenzeel,Gelderland,25,
606,Schiedam,Zuid-Holland,28,
88,Schiermonnikoog,Friesland,21,
844,Schijndel,Noord-Brabant,30,
962,Schinnen,Limburg,31,
1676,Schouwen-Duiveland,Zeeland,29,
965,Simpelveld,Limburg,31,
1702,Sint Anthonis,Noord-Brabant,30,
845,Sint-Michielsgestel,Noord-Brabant,30,
846,Sint-Oedenrode,Noord-Brabant,30,
1883,Sittard-Geleen,Limburg,31,
610,Sliedrecht,Zuid-Holland,28,
40,Slochteren,Groningen,20,
1714,Sluis,Zeeland,29,
90,Smallingerland,Friesland,21,
342,Soest,Utrecht,26,
847,Someren,Noord-Brabant,30,
848,Son en Breugel,Noord-Brabant,30,
37,Stadskanaal,Groningen,20,
180,Staphorst,Overijssel,23,
532,Stede Broec,Noord-Holland,27,
851,Steenbergen,Noord-Brabant,30,
1708,Steenwijkerland,Overijssel,23,
971,Stein,Limburg,31,
1904,Stichtse Vecht,Utrecht,26,
617,Strijen,Zuid-Holland,28,
1900,S�dwest-Frysl�n,Friesland,21,
715,Terneuzen,Zeeland,29,
93,Terschelling,Friesland,21,
448,Texel,Noord-Holland,27,
1525,Teylingen,Zuid-Holland,28,
716,Tholen,Zeeland,29,
281,Tiel,Gelderland,25,
855,Tilburg,Noord-Brabant,30,
183,Tubbergen,Overijssel,23,
1700,Twenterand,Overijssel,23,
1730,Tynaarlo,Drenthe,22,
737,Tytsjerksteradiel,Friesland,21,
856,Uden,Noord-Brabant,30,
450,Uitgeest,Noord-Holland,27,
451,Uithoorn,Noord-Holland,27,
184,Urk,Flevoland,24,
344,Utrecht,Utrecht,26,
1581,Utrechtse Heuvelrug,Utrecht,26,
981,Vaals,Limburg,31,
994,Valkenburg aan de Geul,Limburg,31,
858,Valkenswaard,Noord-Brabant,30,
47,Veendam,Groningen,20,
345,Veenendaal,Utrecht,26,
717,Veere,Zeeland,29,
860,Veghel,Noord-Brabant,30,
861,Veldhoven,Noord-Brabant,30,
453,Velsen,Noord-Holland,27,
983,Venlo,Limburg,31,
984,Venray,Limburg,31,
620,Vianen,Utrecht,26,
622,Vlaardingen,Zuid-Holland,28,
48,Vlagtwedde,Groningen,20,
96,Vlieland,Friesland,21,
718,Vlissingen,Zeeland,29,
986,Voerendaal,Limburg,31,
626,Voorschoten,Zuid-Holland,28,
285,Voorst,Gelderland,25,
865,Vught,Noord-Brabant,30,
866,Waalre,Noord-Brabant,30,
867,Waalwijk,Noord-Brabant,30,
627,Waddinxveen,Zuid-Holland,28,
289,Wageningen,Gelderland,25,
629,Wassenaar,Zuid-Holland,28,
852,Waterland,Noord-Holland,27,
988,Weert,Limburg,31,
457,Weesp,Noord-Holland,27,
870,Werkendam,Noord-Brabant,30,
668,West Maas en Waal,Gelderland,25,
1701,Westerveld,Drenthe,22,
293,Westervoort,Gelderland,25,
1783,Westland,Zuid-Holland,28,
98,Weststellingwerf,Friesland,21,
614,Westvoorne,Zuid-Holland,28,
189,Wierden,Overijssel,23,
296,Wijchen,Gelderland,25,
1696,Wijdemeren,Noord-Holland,27,
352,Wijk bij Duurstede,Utrecht,26,
53,Winsum,Groningen,20,
294,Winterswijk,Gelderland,25,
873,Woensdrecht,Noord-Brabant,30,
632,Woerden,Utrecht,26,
1690,De Wolden,Drenthe,22,
880,Wormerland,Noord-Holland,27,
351,Woudenberg,Utrecht,26,
874,Woudrichem,Noord-Brabant,30,
479,Zaanstad,Noord-Holland,27,
297,Zaltbommel,Gelderland,25,
473,Zandvoort,Noord-Holland,27,
707,Zederik,Zuid-Holland,28,
50,Zeewolde,Flevoland,24,
355,Zeist,Utrecht,26,
299,Zevenaar,Gelderland,25,
637,Zoetermeer,Zuid-Holland,28,
638,Zoeterwoude,Zuid-Holland,28,
56,Zuidhorn,Groningen,20,
1892,Zuidplas,Zuid-Holland,28,
879,Zundert,Noord-Brabant,30,
301,Zutphen,Gelderland,25,
1896,Zwartewaterland,Overijssel,23,
642,Zwijndrecht,Zuid-Holland,28,
193,Zwolle,Overijssel,23,
